,Country,"Population, total (millions)",Education Index,Human development index (HDI),Life expectancy at birth,"Population, ages 15â€“64 (millions)","Population, ages 65 and older (millions)","Population, under age 5 (millions)","Population, urban (%)","Unemployment, total (% of labour force)",Gross domestic product (GDP) per capita (2011 PPP $),Mobile phone subscriptions (per 100 people)
85,Japan,127.2,0.850,0.915,84.5,0.5974842767295597,0.2759433962264151,0.04009433962264151,91.6,2.5,39294,139.2
86,Jordan,10.0,0.678,0.723,74.4,0.62,0.04,0.11000000000000001,91.0,15.0,8309,87.6
87,Kazakhstan,18.3,0.817,0.817,73.2,0.644808743169399,0.07650273224043715,0.1092896174863388,57.4,4.9,24738,142
88,Kenya,51.4,0.526,0.579,66.3,0.5778210116731518,0.023346303501945526,0.13618677042801558,27.0,9.3,3077,96.3
89,Kiribati,0.1,0.590,0.623,68.1,1.0,0.0,0.0,54.1,,2035,46.6
90,Korea (Republic of),51.2,0.862,0.906,82.8,0.7265625,0.14453125,0.041015625,81.5,3.8,36777,129.7
91,Kuwait,4.1,0.625,0.808,75.4,0.7560975609756099,0.02439024390243903,0.07317073170731708,100.0,2.1,65515,178.6
92,Kyrgyzstan,6.3,0.734,0.674,71.3,0.6349206349206349,0.047619047619047616,0.126984126984127,36.4,7.2,3447,122.6
93,Lao People's Democratic Republic,7.1,0.481,0.604,67.6,0.6338028169014085,0.04225352112676056,0.11267605633802819,35.0,0.6,6614,51.9
94,Latvia,1.9,0.871,0.854,75.2,0.631578947368421,0.2105263157894737,0.052631578947368425,68.1,7.9,26437,107.3
95,Lebanon,6.9,0.604,0.730,78.9,0.6666666666666666,0.07246376811594203,0.08695652173913043,88.6,6.2,11607,64.5
96,Lesotho,2.1,0.510,0.518,53.7,0.6190476190476191,0.047619047619047616,0.14285714285714285,28.2,23.6,2865,
97,Liberia,4.8,0.422,0.465,63.7,0.5625000000000001,0.04166666666666667,0.14583333333333334,51.2,2.0,1161,
98,Libya,6.7,0.607,0.708,72.7,0.6716417910447761,0.04477611940298507,0.08955223880597014,80.1,17.3,18406,
99,Liechtenstein,0.0,0.827,0.917,80.5,,,,14.3,,,124.6
100,Lithuania,2.8,0.890,0.869,75.7,0.6428571428571429,0.2142857142857143,0.03571428571428572,67.7,6.0,31065,164.3
101,Luxembourg,0.6,0.802,0.909,82.1,0.6666666666666667,0.16666666666666669,0.0,91.0,5.5,93734,132.2
102,Madagascar,26.3,0.493,0.521,66.7,0.5627376425855514,0.030418250950570342,0.1482889733840304,37.2,1.7,1453,40.6
103,Malawi,18.1,0.459,0.485,63.8,0.5359116022099447,0.027624309392265192,0.15469613259668505,16.9,5.4,1163,39
104,Malaysia,31.5,0.713,0.804,76.0,0.6952380952380952,0.06666666666666667,0.08253968253968254,76.0,3.4,28176,134.5
105,Maldives,0.5,0.564,0.719,78.6,0.8,0.0,0.0,39.8,6.1,13611,166.4
